Bill,Bill Type,Bill Num,Session,Bill Status,Money Given in Favor of Bill,Money Given in against the Bill,Bill Title,Bill URL
934401,hr,839,112,PASSED,165420,3672401,HAMP Termination Act of 2011,http://maplight.org/us-congress/bill/112-hr-839/934401/total-contributions
944464,s,843,112,UNOPPOSED,3284082,0,,http://maplight.org/us-congress/bill/112-s-843/944464/total-contributions
944468,s,847,112,UNOPPOSED,87402612,29030270,,http://maplight.org/us-congress/bill/112-s-847/944468/total-contributions
944471,s,850,112,UNOPPOSED,3617781,0,,http://maplight.org/us-congress/bill/112-s-850/944471/total-contributions
944472,s,851,112,UNOPPOSED,22342764,0,,http://maplight.org/us-congress/bill/112-s-851/944472/total-contributions
944474,s,853,112,UNOPPOSED,6397447,0,,http://maplight.org/us-congress/bill/112-s-853/944474/total-contributions
900977,hr,861,112,PASSED,0,264850,NSP Termination Act,http://maplight.org/us-congress/bill/112-hr-861/900977/total-contributions
899122,hr,865,112,UNOPPOSED,253961,0,,http://maplight.org/us-congress/bill/112-hr-865/899122/total-contributions
948986,s,868,112,UNOPPOSED,8845875,0,,http://maplight.org/us-congress/bill/112-s-868/948986/total-contributions
899156,hr,870,112,UNOPPOSED,4907931,0,,http://maplight.org/us-congress/bill/112-hr-870/899156/total-contributions
948989,s,871,112,UNOPPOSED,24132065,1297498,,http://maplight.org/us-congress/bill/112-s-871/948989/total-contributions
899160,hr,872,112,PASSED,34244602,1598297,Reducing Regulatory Burdens Act of 2011,http://maplight.org/us-congress/bill/112-hr-872/899160/total-contributions
935345,hr,872,112,PASSED,34244602,1598297,Reducing Regulatory Burdens Act of 2011,http://maplight.org/us-congress/bill/112-hr-872/935345/total-contributions
949824,s,886,112,UNOPPOSED,710032,1589327,,http://maplight.org/us-congress/bill/112-s-886/949824/total-contributions
899282,hr,901,112,UNOPPOSED,6688321,22450,,http://maplight.org/us-congress/bill/112-hr-901/899282/total-contributions
899297,hr,908,112,UNOPPOSED,3285634,2262950,,http://maplight.org/us-congress/bill/112-hr-908/899297/total-contributions
899298,hr,909,112,UNOPPOSED,10679044,989862,,http://maplight.org/us-congress/bill/112-hr-909/899298/total-contributions
940884,hr,910,112,PASSED,19317044,16175576,Energy Tax Prevention Act of 2011,http://maplight.org/us-congress/bill/112-hr-910/940884/total-contributions
901306,hr,910,112,PASSED,19317044,16175576,Energy Tax Prevention Act of 2011,http://maplight.org/us-congress/bill/112-hr-910/901306/total-contributions
941360,hr,910,112,NOT PASSED,13805001,16453619,Energy Tax Prevention Act of 2011,http://maplight.org/us-congress/bill/112-hr-910/941360/total-contributions
951816,s,911,112,UNOPPOSED,20990783,0,,http://maplight.org/us-congress/bill/112-s-911/951816/total-contributions
951818,s,913,112,UNOPPOSED,39650,2485306,,http://maplight.org/us-congress/bill/112-s-913/951818/total-contributions
951822,s,917,112,UNOPPOSED,3955739,0,,http://maplight.org/us-congress/bill/112-s-917/951822/total-contributions
952530,s,929,112,UNOPPOSED,1980560,0,,http://maplight.org/us-congress/bill/112-s-929/952530/total-contributions
899442,hr,940,112,UNOPPOSED,42983785,0,,http://maplight.org/us-congress/bill/112-hr-940/899442/total-contributions
976405,s,940,112,NOT PASSED,15332440,14263149,,http://maplight.org/us-congress/bill/112-s-940/976405/total-contributions
899448,hr,942,112,UNOPPOSED,122736910,0,,http://maplight.org/us-congress/bill/112-hr-942/899448/total-contributions
953416,s,952,112,UNOPPOSED,25191742,8960737,,http://maplight.org/us-congress/bill/112-s-952/953416/total-contributions
953417,s,953,112,UNOPPOSED,2419512,3436725,,http://maplight.org/us-congress/bill/112-s-953/953417/total-contributions
954301,s,958,112,UNOPPOSED,26784779,0,,http://maplight.org/us-congress/bill/112-s-958/954301/total-contributions
954306,s,963,112,UNOPPOSED,100141051,0,,http://maplight.org/us-congress/bill/112-s-963/954306/total-contributions
954307,s,964,112,UNOPPOSED,62747482,0,,http://maplight.org/us-congress/bill/112-s-964/954307/total-contributions
899516,hr,965,112,UNOPPOSED,39239461,3835443,,http://maplight.org/us-congress/bill/112-hr-965/899516/total-contributions
954310,s,967,112,UNOPPOSED,67150962,11965288,,http://maplight.org/us-congress/bill/112-s-967/954310/total-contributions
954311,s,968,112,UNOPPOSED,63385015,36840214,,http://maplight.org/us-congress/bill/112-s-968/954311/total-contributions
954314,s,971,112,UNOPPOSED,190350,0,,http://maplight.org/us-congress/bill/112-s-971/954314/total-contributions
899525,hr,972,112,UNOPPOSED,11358067,0,,http://maplight.org/us-congress/bill/112-hr-972/899525/total-contributions
954321,s,978,112,UNOPPOSED,82914252,11572068,,http://maplight.org/us-congress/bill/112-s-978/954321/total-contributions
954327,s,984,112,UNOPPOSED,9974755,398449,,http://maplight.org/us-congress/bill/112-s-984/954327/total-contributions
978219,s,990,112,PASSED,2611249,0,PATRIOT Sunsets Extension Act of 2011,http://maplight.org/us-congress/bill/112-s-990/978219/total-contributions
979508,s,990,112,PASSED,1949414,0,PATRIOT Sunsets Extension Act of 2011,http://maplight.org/us-congress/bill/112-s-990/979508/total-contributions
900025,hr,992,112,UNOPPOSED,63538317,0,,http://maplight.org/us-congress/bill/112-hr-992/900025/total-contributions
900032,hr,997,112,UNOPPOSED,8390852,16000,,http://maplight.org/us-congress/bill/112-hr-997/900032/total-contributions
900035,hr,998,112,UNOPPOSED,12988641,8548522,,http://maplight.org/us-congress/bill/112-hr-998/900035/total-contributions
955329,s,1000,112,UNOPPOSED,119442057,0,,http://maplight.org/us-congress/bill/112-s-1000/955329/total-contributions
1019913,hr,1002,112,PASSED,19234871,8086894,Wireless Tax Fairness Act of 2011,http://maplight.org/us-congress/bill/112-hr-1002/1019913/total-contributions
900043,hr,1004,112,UNOPPOSED,3790933,0,,http://maplight.org/us-congress/bill/112-hr-1004/900043/total-contributions
976986,s,1011,112,UNOPPOSED,36825,0,,http://maplight.org/us-congress/bill/112-s-1011/976986/total-contributions
978239,s,1026,112,UNOPPOSED,195523,0,,http://maplight.org/us-congress/bill/112-s-1026/978239/total-contributions
978247,s,1034,112,UNOPPOSED,1033780,0,,http://maplight.org/us-congress/bill/112-s-1034/978247/total-contributions
900209,hr,1041,112,UNOPPOSED,9753900,0,,http://maplight.org/us-congress/bill/112-hr-1041/900209/total-contributions
979234,s,1048,112,UNOPPOSED,12138567,0,,http://maplight.org/us-congress/bill/112-s-1048/979234/total-contributions
979235,s,1049,112,UNOPPOSED,1790947,0,,http://maplight.org/us-congress/bill/112-s-1049/979235/total-contributions
979602,s,1056,112,UNOPPOSED,1622983,0,,http://maplight.org/us-congress/bill/112-s-1056/979602/total-contributions
979603,s,1057,112,UNOPPOSED,26113259,507220,,http://maplight.org/us-congress/bill/112-s-1057/979603/total-contributions
